timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
26:07:249212,-6.967420631553978e-06,3.559371464234573e-07,-1.7461741208535386e-06,0.05227385833859444,-2.115402139679645e-06,-2.3685834094067104e-06,-3.7565732782240957e-06,-1.0931124961643945e-05,-5.173780209588585e-06,0.0019471796695142984,-1.3387514627538621e-05,-1.1316586778775672e-06
26:07:349956,-6.69548580845003e-06,2.6755077442430775e-07,-1.8195536313214689e-06,0.05228318274021149,-2.1685516458092025e-06,-2.3463726392947137e-06,3.8327671063598245e-05,-8.808167876850348e-06,-8.49681964609772e-06,0.001876939320936799,-1.478770536778029e-05,4.857297881244449e-06
26:07:450644,-6.5289232225040905e-06,7.255734857380958e-08,-1.8164748780691298e-06,0.05229198560118675,-2.165596697523142e-06,-2.3492525542678777e-06,2.843481706804596e-05,-4.0445534978061914e-05,-8.020318091439549e-06,0.0017644248437136412,-4.816299679077929e-06,-2.0349177702883026e-06
26:07:551382,-6.464513262471883e-06,1.0446584752799026e-07,-1.8192318975707167e-06,0.05230021849274635,-2.2215003809833433e-06,-2.3670818336540833e-06,3.7847024941584095e-05,-9.782288543647155e-06,-3.1285146633308614e-06,0.001655185827985406,-1.3741106158704497e-05,-6.615363872697344e-06
26:07:651944,-6.2236622397904284e-06,-1.2405453730934823e-07,-1.8030094679488684e-06,0.05230790749192238,-2.2611873191635823e-06,-2.3701404643361457e-06,5.628500730381347e-05,-3.90779969166033e-05,3.969880253862357e-06,0.0015439273556694388,-1.4475746866082773e-05,-6.297581421677023e-06
26:07:752648,-5.963642706774408e-06,-3.582418059977499e-07,-1.7392170548191643e-06,0.052315179258584976,-2.314291350558051e-06,-2.4255325570265995e-06,6.279026274569333e-05,-4.768993676407263e-05,8.466685358143877e-06,0.001457355567254126,-1.8674340026336722e-05,-6.825160198786762e-06
26:07:853249,-5.884318852622528e-06,-6.722601710862364e-07,-1.8013305407293956e-06,0.052321914583444595,-2.3740135475236457e-06,-2.560376287874533e-06,2.0201245206408203e-05,-4.3740281398640946e-05,-9.419599336979445e-06,0.001349085127003491,-1.771475581335835e-05,-2.3629232600796968e-05
26:07:953700,-5.649809736496536e-06,-1.160295710178616e-06,-1.7926641930898768e-06,0.05232800915837288,-2.45627620643063e-06,-2.7076828246208606e-06,5.1057639211649075e-05,-9.38558005145751e-05,1.149588297266746e-05,0.0012205705279484391,-2.4578372176620178e-05,-3.033856592082884e-05
26:08:090846,-5.2964228416385595e-06,-1.727704102449934e-06,-1.8240197050545248e-06,0.05233360081911087,-2.545251390984049e-06,-2.8542322070279624e-06,7.446130621246994e-05,-0.00010700917482608929,-8.758568696975999e-07,0.001122710877098143,-2.1158644813112915e-05,-3.456849299254827e-05
26:08:192330,-5.0571893552842084e-06,-2.533307906560367e-06,-1.754201889525575e-06,0.05233868956565857,-2.5980962163885124e-06,-3.091815187872271e-06,5.824410982313566e-05,-0.00015570757386740297,1.2227989827806596e-05,0.0010229763574898243,-1.954166145878844e-05,-4.4515090849017724e-05
26:08:293056,-4.71139355795458e-06,-3.525815145621891e-06,-1.6993520830510533e-06,0.052343230694532394,-2.6770819658850087e-06,-3.3945268569368636e-06,7.290018402272835e-05,-0.0002398610085947439,8.482442353852093e-06,0.0010434405412524939,-2.2513637304655276e-05,-6.1957718571648e-05
26:08:393589,-4.521018581726821e-06,-4.341497515270021e-06,-1.6421762438767473e-06,0.05234648287296295,-2.734785766733694e-06,-3.6447863749344833e-06,3.238059071009047e-05,-0.00017367796681355685,1.4127598660707008e-05,0.0006653917953372002,-1.313518441747874e-05,-4.836397056351416e-05
26:08:494317,-4.2850278987316415e-06,-5.803884960187133e-06,-1.6562141809117747e-06,0.05235070362687111,-2.799675939968438e-06,-4.0392333175987005e-06,5.533609873964451e-05,-0.0002781748480629176,8.893629455997143e-06,0.000825895753223449,-1.4691347132611554e-05,-8.025312126846984e-05
26:08:595040,-4.172567969362717e-06,-6.7034670792054385e-06,-1.6042710058172815e-06,0.05235312879085541,-2.8157671749795554e-06,-4.314646048442228e-06,2.5852790713543072e-05,-0.00018791868933476508,5.902690645598341e-06,0.0005007252912037075,-4.742313194583403e-06,-5.505738954525441e-05
26:08:695738,-3.855743216263363e-06,-8.11695099400822e-06,-1.5263290151779074e-06,0.052356138825416565,-2.8821659725508653e-06,-4.734246431326028e-06,4.477573747863062e-05,-0.0002813080500345677,1.2943291039846372e-05,0.000587372574955225,-1.4873052350594662e-05,-8.219108713092282e-05
26:08:796218,-3.6664689559984254e-06,-8.721306585357524e-06,-1.4845695659460034e-06,0.052357349544763565,-2.9196303330536466e-06,-4.943813110003248e-06,3.476427446003072e-05,-0.00013199511158745736,8.135030839184765e-06,0.00026808594702742994,-7.793179065629374e-06,-4.344059561844915e-05
26:08:896949,-3.504255118969013e-06,-1.0300836038368288e-05,-1.3956689599581296e-06,0.05235954001545906,-3.0281096314865863e-06,-5.391223112383159e-06,4.813898340216838e-05,-0.0003594945010263473,1.839198375819251e-05,0.0004645810404326767,-2.371669324929826e-05,-9.559701720718294e-05
26:08:997661,-3.328892034915043e-06,-1.1243679182371125e-05,-1.2455622027118807e-06,0.05236043781042099,-3.1797546853340464e-06,-5.760636213381076e-06,6.239684444153681e-05,-0.0003507547080516815,4.9948328523896635e-05,0.000352059374563396,-5.123961454955861e-05,-0.00013056094758212566
26:09:098391,-3.328892034915043e-06,-1.1243679182371125e-05,-1.2455622027118807e-06,0.05236043781042099,-3.1797546853340464e-06,-5.760636213381076e-06,9.468473763263319e-06,-5.322563447407447e-05,7.579460543638561e-06,5.34236132807564e-05,-7.775408448651433e-06,-1.981210516532883e-05
26:09:199226,-3.2924888273555553e-06,-1.253766367881326e-05,-8.56529766224412e-07,0.05235863849520683,-3.2934722185018472e-06,-6.377149020408979e-06,1.555453764012782e-06,-0.00024244999804068357,7.811344403307885e-05,-0.00042328028939664364,-1.4828589883109089e-05,-8.772164437687024e-05
26:09:299946,-2.8315366762399208e-06,-1.304601664742222e-05,-2.815067716710473e-07,0.052356503903865814,-3.339607928865007e-06,-6.4269679569406435e-06,7.82365896156989e-05,-0.00011734239524230361,0.00010311371443094686,-0.00041110991151072085,-1.026289100991562e-05,-1.969725235539954e-05
26:09:400498,-1.4933191323507344e-06,-1.4275162357080262e-05,1.2799411024388974e-06,0.05235249176621437,-3.1343427053798223e-06,-6.464151738327928e-06,0.00025006194482557476,-0.00022498935868497938,0.00028766950708813965,-0.0007282191072590649,3.3707256079651415e-05,-9.232158845406957e-06
26:09:501221,-2.1584664722240632e-08,-1.5209806406346615e-05,3.2733385069150245e-06,0.05234856158494949,-2.8212932647875277e-06,-6.536974979098886e-06,0.00030007673194631934,-0.00019025409710593522,0.00038757678703404963,-0.0007870761910453439,5.430280361906625e-05,-1.7568299881531857e-05
