timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
28:06:304341,-1.5334699128288776e-05,2.891673602789524e-06,-3.7547381452895934e-06,-1.258238881973739e-07,0.013390840962529182,2.3856961206547567e-07,3.9930189814185724e-05,3.027658567589242e-05,-1.8503336832509376e-05,2.2525984604726546e-05,0.03181632608175278,6.0025445236533415e-06
28:06:405566,-1.4964587535359897e-05,2.9556258596130647e-06,-3.7619211070705205e-06,-2.0829214975037758e-07,0.013549727387726307,2.6426008048474614e-07,0.00010385689529357478,-2.308920375071466e-05,-9.78878506430192e-06,-2.840883553290041e-06,0.031772762537002563,1.7000102161546238e-06
28:06:506287,-1.523357059340924e-05,3.358903995831497e-06,-3.840403678623261e-06,-2.4517862584616523e-07,0.013708535581827164,3.691154972784716e-07,-5.464575588121079e-05,6.810084596509114e-05,5.910146228416124e-06,-4.859568889514776e-06,0.0317545123398304,2.003832923946902e-05
28:06:607337,-1.4967079550842755e-05,3.236697466491023e-06,-3.867955001624068e-06,-2.812566037846409e-07,0.013867291621863842,3.948181586110877e-07,1.2843465810874477e-05,-1.0700807251851074e-05,5.59071031602798e-06,7.224333785416093e-06,0.031759731471538544,8.000812158570625e-06
28:06:708077,-1.4822139746684115e-05,3.4368629258096917e-06,-3.927830221073236e-06,-2.719284282193257e-07,0.014025771990418434,4.213468969282985e-07,1.9969887944171205e-05,2.4878023396013305e-05,2.5175736482196953e-06,1.0630428732838482e-05,0.03169781342148781,4.154677299084142e-06
28:06:808468,-1.484825315856142e-05,3.560782943168306e-06,-4.013658326584846e-06,-4.022449502372183e-07,0.01418426726013422,5.12042106493027e-07,2.9145157895982265e-05,4.105187326786108e-05,-1.534468901809305e-05,-1.9175882698618807e-05,0.031696565449237823,3.498993919492932e-06
28:06:909195,-1.4806452782067936e-05,3.181326746926061e-06,-3.964745701523498e-06,-4.7603606390111963e-07,0.014342617243528366,5.892483159186668e-07,4.700445970229339e-06,-6.267366552492604e-05,9.072880857274868e-06,-1.1907235602848232e-05,0.03167947754263878,5.244571639195783e-06
28:07:009928,-1.4902564544172492e-05,3.5479672533256235e-06,-4.032064680359326e-06,-3.8842759408908023e-07,0.014500788412988186,6.035580781826866e-07,2.407126703474205e-05,4.273699960322119e-05,-1.3523206689569633e-05,2.27263353735907e-05,0.03162773326039314,-1.2736230928567238e-05
28:07:110869,-1.5550795069430023e-05,3.4857384889619425e-06,-3.948888661398087e-06,-4.7235877786988567e-07,0.014658848755061626,6.942477170923667e-07,-0.00010938351624645293,3.330974868731573e-05,1.7775853848434053e-05,8.196831913664937e-06,0.031620848923921585,1.277115097764181e-05
28:07:211768,-1.5454221284016967e-05,3.334063421789324e-06,-3.6869630548608257e-06,-4.7408300929419056e-07,0.01481675449758768,6.417769213840074e-07,-2.1181867850827985e-05,-1.143630470323842e-05,4.3786363676190376e-05,1.986413190024905e-05,0.031611114740371704,-2.1083209503558464e-05
