timestamp,surge,sway,heave,roll,pitch,yaw,surge_t,sway_t,heave_t,roll_t,pitch_t,yaw_t
21:10:205008,-0.2764532268047333,-9.533386219118256e-06,4.626905138138682e-06,3.502987510728417e-06,2.9904140319558792e-05,1.6772852177382447e-05,0.07308124005794525,1.269292533834232e-05,-2.5067598471650854e-05,3.1773863611306297e-06,-2.373579263803549e-05,-4.052917211083695e-05
21:10:305338,-0.2760854661464691,-9.407010111317504e-06,4.460744548850926e-06,3.681786211018334e-06,2.9679025828954764e-05,1.6675459846737795e-05,0.07356917858123779,3.8498470530612394e-05,-3.612936779973097e-05,2.4752140234340914e-05,-4.011944110970944e-05,-2.3781962227076292e-05
21:10:405976,-0.27571478486061096,-9.391075764142442e-06,4.351452844275627e-06,3.620675670390483e-06,2.944728657894302e-05,1.6506619431311265e-05,0.07410112768411636,3.793373252847232e-05,-3.92520050809253e-05,8.103548680082895e-06,-4.826692020287737e-05,-4.522643575910479e-05
21:10:506703,-0.27534136176109314,-9.708426659926772e-06,4.326705038693035e-06,3.4805864288500743e-06,2.9371261916821823e-05,1.6523892554687336e-05,0.07466588914394379,-4.4825777877122164e-05,-2.3122447601053864e-05,-4.5810698793502524e-05,-1.8003365767071955e-05,-1.4846549674984999e-05
21:10:607736,-0.2749655842781067,-9.732355465530418e-06,4.373857336759102e-06,3.4691554446908413e-06,2.9346630981308408e-05,1.6366650015697815e-05,0.07516732066869736,-2.8956284950254485e-05,7.232591087813489e-06,-3.464738983893767e-05,1.0277058208885137e-05,-2.506191231077537e-05
21:10:708531,-0.2745867669582367,-9.72974066826282e-06,4.291430741432123e-06,3.38986706083233e-06,2.8963451768504456e-05,1.62508604262257e-05,0.07571470737457275,2.4627724997117184e-05,-2.2120284484117292e-05,-2.4226352252298966e-05,-6.520428723888472e-05,-4.287963020033203e-05
21:10:809475,-0.2742052376270294,-1.0161556929233484e-05,4.393320978124393e-06,3.269952458140324e-06,2.9059247026452795e-05,1.6280597264994867e-05,0.0762668326497078,-5.96291029069107e-05,1.537967546028085e-05,-2.1220297639956698e-05,1.5808118405402638e-05,-1.4244106750993524e-05
21:10:910551,-0.27382099628448486,-1.0318395652575418e-05,4.445185822987696e-06,3.1669135296397144e-06,2.8770766220986843e-05,1.6165482520591468e-05,0.07686873525381088,-6.042820677976124e-05,-1.6012639889595448e-06,-2.978293014166411e-05,-3.955478314310312e-05,-1.0638041203492321e-05
21:11:011340,-0.2734341025352478,-1.0462983482284471e-05,4.417662239575293e-06,3.17321587317565e-06,2.85197384073399e-05,1.5981418982846662e-05,0.07738129049539566,-5.297614188748412e-05,-8.807439371594228e-06,1.4849176466213976e-07,-5.40464861842338e-05,-3.157083847327158e-05
21:11:111968,-0.27304428815841675,-1.0268213372910395e-05,4.4929756768397056e-06,3.156723323627375e-06,2.8281359846005216e-05,1.579812669660896e-05,0.077947698533535,4.774853368871845e-05,6.044474503141828e-07,1.9253189748269506e-05,-5.300074917613529e-05,-4.726197221316397e-05
21:11:212476,-0.272651731967926,-1.0301395377609879e-05,4.494035238167271e-06,3.0894909741618903e-06,2.804463656502776e-05,1.565569982631132e-05,0.07852984964847565,-6.869777735118987e-06,3.654777458450553e-07,-2.1601690605166368e-05,-5.403255272540264e-05,-1.8643771909410134e-05
21:11:313385,-0.2722562849521637,-1.0284594281984027e-05,4.376154265628429e-06,3.2641412417433457e-06,2.7595378924161196e-05,1.540097400720697e-05,0.07908187061548233,2.13359271583613e-06,-4.164228812442161e-05,1.9492124920361675e-05,-7.965570694068447e-05,-4.1615963709773496e-05
